indice_tiempo_instruccion,fecha_zarpada,pais_zarpada_id,pais_zarpada_nombre,puerto_zarpada_nombre,puerto_zarpada_latitud,puerto_zarpada_longitud,indice_tiempo_arribo,pais_arribo_id,pais_arribo_nombre,puerto_arribo_nombre,puerto_arribo_latitud,puerto_arribo_longitud,dias_navegacion,dias_puerto,millas_nauticas
1979,1979-05-31,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1979-06-14,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),14,4,2539
1979,1979-06-18,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),1979-07-02,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),14,4,2849
1979,1979-07-06,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),1979-07-12,212,Estados Unidos de America,Mayport,+30° 19´ 29´´ (N),-081° 37´ 45´´ (W),6,5,1219
1979,1979-07-17,212,Estados Unidos de America,Mayport,+30° 19´ 29´´ (N),-081° 37´ 45´´ (W),1979-07-23,663,Bermuda,Hamilton,+32° 16´ 59´´ (N),-064° 46´ 00´´ (W),6,3,883
1979,1979-07-26,663,Bermudas,Hamilton,+32° 16´ 59´´ (N),-064° 46´ 00´´ (W),1979-08-13,426,Reino Unido de Gran Bretania e Irlanda del Norte,Londres,+51° 30´ 27´´ (N),-000° 07´ 20´´ (W),18,5,3406
1979,1979-08-18,426,Reino Unido de Gran Bretania e Irlanda del Norte,Londres,+51° 30´ 27´´ (N),-000° 07´ 20´´ (W),1979-08-27,444,Federacion de Rusia,San Petersburgo,+59° 57´ 24´´ (N),+030° 12´ 42´´ (E),9,6,1436
1979,1979-09-02,444,Federacion de Rusia,San Petersburgo,+59° 57´ 24´´ (N),+030° 12´ 42´´ (E),1979-09-06,409,Reino de Dinamarca,Copenhague,+55° 40´ 17´´ (N),+012° 34´ 43´´ (E),4,4,717
1979,1979-09-10,409,Reino de Dinamarca,Copenhague,+55° 40´ 17´´ (N),+012° 34´ 43´´ (E),1979-09-14,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),4,6,526
1979,1979-09-20,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),1979-09-24,412,Republica Francesa,Cherburgo,+49° 38´ 20´´ (N),-001° 37´ 30´´ (W),4,11,555
1979,1979-10-05,412,Republica Francesa,Cherburgo,+49° 38´ 20´´ (N),-001° 37´ 30´´ (W),1979-10-10,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),5,5,970
1979,1979-10-15,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),1979-10-17,410,Republica de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),2,8,258
1979,1979-10-25,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),1979-10-29,410,Republica de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),4,4,721
1979,1979-11-02,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),1979-11-06,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),4,3,849
1979,1979-11-09,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),1979-11-28,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),19,2,2919
1979,1979-11-30,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1979-12-06,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),6,5,1094
1979,1979-12-11,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1979-12-13,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),2,,120
1980,1980-05-20,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1980-05-31,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),11,4,1954
